,fund,matched_firm,firm_confidence,cik_no_fund,form_d_fund_id,crd_no_firm,form_adv_firm_id
272,Ifm Global Infrastructure Us,Global Infrastructure Management,0.6967863499328243,1455021,31682,157434,
273,Vontobel Holding,Volt Investment Holdings,0.859713294038964,1588340,56617,306923,
274,Segv Technologies,Income Technologies,0.748641212256797,1695524,38972,284678,
275,Ob Fund I A Series Of Sinala Al Syndicate,S,0.9999999999999998,1789687,60225,108401,
276,Fort Baker Special Opportunities Spc Segregated Portfolio B,Angel Squad Special Opportunities,0.9614166630566834,1719858,40553,314277,
277,Aegis Asset Backed Securities,Fis Securities,0.928278810784133,1614461,35878,30533,
278,Sound Harbor Capital Solutions Fund Ii,Sound Capital Solutions,0.6602012807029806,1658338,59806,311034,
279,Revere Credit Opportunities Fund Iii,Source Capital Credit Opportunities Advisors Iii,0.7181632762868592,1689712,38725,291304,
280,Net Venture,Netnet Ventures,0.4574813326932886,1657169,37340,109448,
281,Cold Harbor Capital Partners,Sound Harbor Partners,0.7092607157146874,1611625,35778,165790,
282,Hostme Liability,Stability Financial,0.9035983741053645,1678310,38299,167906,
283,Poppin,Copperpine,0.8773942036280774,1575865,34655,170068,
284,Microoptx,S,1.0,1643891,36874,108401,
285,Fa Fund I A Series Of Xoogler Syndicate,S,1.0,1785654,55796,108401,
286,Loopshare,S,1.0,1678748,38313,108401,
287,Orbimed Partners,Orbimed Capital,0.7038010906430862,1459984,31851,120188,11898.0
288,Mhr Capital Partners , Capital Partners,0.8179374438523453,1019190,27780,313414,
289,Applied Dna Sciences,Applied Capital,0.8651603705933584,744452,26468,166175,116096.0
290,Alkemi Venture Partners,Alkemi Venture Partners Llp,0.4634052194192437,1746935,43022,298661,
291,Kernel Partners,Kennet Partners,0.6754473167498444,1680217,38401,158178,
292,Bch Ap Invest,Bci Investment Management,0.9888266716552367,1694544,38928,297649,
293,Crestline Ak Permanent Fund,Crestline Management,0.9509215914570244,1359140,30296,122711,4559.0
294,Inspyr Therapeutics,S,0.9999999999999999,1421204,24373,108401,
295,L Onshore Fund,Level One Fund,0.9593600029389135,1442391,31507,318696,
296,Stirling Partners A California Limited Partnership,Artisan Partners Limited Partnership,0.7576260424783474,1346292,30153,150114,83.0
297,Immutrix Therapeutics,S,0.9999999999999998,1656200,57455,108401,
298,Tia Ventures Fund Ii,Tia Ventures Management,0.7856971291437447,1723186,40752,319631,
299,Good Hill Municipal Bond Opportunity Overseas Fund,Cobro Opportunity Fund Gp,0.9028666816008383,1720669,40614,309434,
300,Brc Partners Opportunity Fund,Jme Opportunity Partners,0.6894447123896948,1642765,36811,126999,
301,Acuta Capital Offshore Fund,Contrarian Capital Offshore Management,0.8518926737253629,1604651,35515,113184,
302,Walter Scott Partners Group Trust Us Fund,Walter Scott Partners Limited,0.8835290424906157,1498926,32687,112161,10685.0
303,Fort Myers Multifamily Dst,Hylton Multifamily Fund I,0.9837150652888652,1759531,43787,321250,151224.0
304,Two Sigma Compass Enhanced Us Fund,Two Sigma Advisers,0.9564581072407932,1470444,32169,152254,159.0
305,Afh Acquisition Vii,Regis Acquisition,0.9101305603231065,1420035,24365,323495,
306,Transcapital Georgia Tax Credit Fund Ii,S,0.9999999999999999,1333647,30024,108401,
307,Fi Fund I A Series Of Better Capital,Toba Capital Fund I Series,0.9303788083657668,1789693,60230,169815,
308,Voloridge Global Fundlp,Voloridge,0.8202964928081081,1552906,33995,152869,4804.0
309,Moore Asset Backed Fund,Halcyon Asset Backed Advisors,0.9497194590312498,1677967,38289,141491,
310,Nview Medical,Medici,0.9815252541973626,1733353,41542,315941,
311,Orange Maker,Orange Capital,0.8646927280770124,1724584,40820,159706,6529.0
