cik_no,fund_name,matched_fund_name,matched_firm_name,related_partner,matched_owner_name,crd_no_fund,matched_fund_confidence,crd_no_firm,matched_firm_confidence,crd_no_owner,matched_firmowners_confidence
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wieneke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.5497541095080941
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wieneke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.5497541095080941
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Jeffrey Wieneke,Wieneke Jeffrey Dean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.5497541095080941
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Justin Kelly,Kelly Justin Holly,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6208301533014738
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Justin Kelly,Kelly Justin Holly,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6208301533014738
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Justin Kelly,Kelly Justin Holly,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6208301533014738
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Justin Kelly,Kelly Justin Holly,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6208301533014738
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Justin Kelly,Kelly Justin Holly,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6208301533014738
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Justin Kelly,Kelly Justin Holly,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6208301533014738
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Justin Kelly,Kelly Justin Holly,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6208301533014738
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Nuveen Wcm Holdings,Nuveen Wcm Holdings,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.0
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Nuveen Wcm Holdings,Nuveen Wcm Holdings,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.0
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Nuveen Wcm Holdings,Nuveen Wcm Holdings,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.0
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Nuveen Wcm Holdings,Nuveen Wcm Holdings,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.0
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Nuveen Wcm Holdings,Nuveen Wcm Holdings,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.0
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Nuveen Wcm Holdings,Nuveen Wcm Holdings,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.0
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Nuveen Wcm Holdings,Nuveen Wcm Holdings,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.0
1580677,Sustainable Insight Capital Management,Sustainable Insight International Equities Fund,Sustainable Insight Capital Management,Mark Corrao,Cork,166616.0,0.7526480325864806,166616.0,0.0,166616.0,1.423915160230349
1580677,Sustainable Insight Capital Management,Sustainable Insight International Equities Fund,Sustainable Insight Capital Management,Robert Manilla,Manilla Robert,166616.0,0.7526480325864806,166616.0,0.0,166616.0,1.0077828309297914
1030815,Symphony Asset Management,Asset Management Company Venture Fund L P,Symphony Asset Management,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,110687.0,0.8042297983713624,160606.0,0.0,110687.0,0.3036336220620995
1030815,Symphony Asset Management,Asset Management Company Venture Fund L P,Symphony Asset Management,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,110687.0,0.8042297983713624,160606.0,0.0,110687.0,0.3036336220620995
1030815,Symphony Asset Management,Asset Management Company Venture Fund L P,Symphony Asset Management,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,110687.0,0.8042297983713624,160606.0,0.0,110687.0,0.3036336220620995
1030815,Symphony Asset Management,Asset Management Company Venture Fund L P,Symphony Asset Management,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,110687.0,0.8042297983713624,160606.0,0.0,110687.0,0.3036336220620995
